,Recursive ST,General ST,$\frac{\rho(4)}{\lambda_5}$,True Value
100,0.39983672337431986,0.7491738018801215,0.8317595592810025,0.24687859822036112
200,0.3484477676032172,0.7140445724005784,0.7486566882067722,0.22298162234133026
300,0.35070212161295927,0.7413708222759328,0.7721701546114382,0.23853652382060284
400,0.36761747205390605,0.7564373508236433,0.7935722466922701,0.24493002753663448
500,0.34590862237765274,0.7348788243509607,0.7602010911459752,0.23699210564223433
600,0.341752787176698,0.7309916854931947,0.755697869818107,0.23263848489867706
700,0.34717432633921846,0.7413919413302621,0.7641436111539432,0.23822264501415275
800,0.35359895852138923,0.7567582879003365,0.7822540748478354,0.24385320364652072
900,0.3586175990388566,0.752506139855299,0.7813972367685984,0.24138565864060194
