,Recursive ST,General ST,$\frac{\rho(8)}{\lambda_9}$,True Value
200,0.14818173406864704,0.5087241119652842,0.6239680417783379,0.021654703701747144
300,0.12970985486965392,0.496716025135044,0.6072190361131526,0.014919321009276097
400,0.11953719118744563,0.4871634066774578,0.5974887252234495,0.01133770734947948
500,0.11122191721908982,0.4834633266117044,0.5920760477553275,0.009187648884822947
600,0.1079873344197732,0.47960304834076734,0.5872918215989852,0.007206584105047797
700,0.10475426420381517,0.47637650694277334,0.5837248501671067,0.006270916970255055
800,0.10154201365597579,0.4739968812632453,0.5807135145963078,0.005416678226935047
900,0.0910473052700935,0.4725357742943033,0.5785823515327011,0.004925321733533422
