,Recursive ST,General ST,$\frac{\rho(4)}{\lambda_5}$,True Value
200,0.5096089295295922,0.6050793963238955,0.15475370769284857,0.14199553527087036
300,0.4387139481076062,0.5966178242885363,0.15013993766016026,0.10905979149917662
400,0.2591214119705214,0.5878065295377431,0.14780464190556758,0.08168530965700717
500,0.19556075487722724,0.5838798750694845,0.14665898360761598,0.0678022820804026
600,0.15353386232698313,0.580939094524324,0.14553941623416983,0.05851293415445997
700,0.11199673645277448,0.5782757344123499,0.1446580609424219,0.04777507418533892
800,0.09870904999218033,0.575739255805346,0.14405014369399186,0.042561629432409966
900,0.07718566927191008,0.5733024818912593,0.14341475502742176,0.03588532949719367
