,Recursive ST,General ST,$\frac{\rho(8)}{\lambda_9}$,True Value
200,0.32377967689734993,0.6640223460454925,0.6655340211859528,0.06441953987898108
300,0.19128795325713405,0.6564460863504926,0.6574105775529968,0.043177529312845644
400,0.12158440328290365,0.6522226784819803,0.6532219100208424,0.03260718168633632
500,0.0970819631292839,0.6491463893192229,0.6497336828269465,0.02618713679546737
600,0.07955860414458779,0.6469177292385525,0.6474523726085872,0.02170983533084379
700,0.06435168878212597,0.6452683616216982,0.6456877873059778,0.018667738291925896
